clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,periodo_act,anio_ingreso_periodo,promedio,promedioxperiodo,promedio_pred,alumnoEnRiesgoBajoRendimiento
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,ene-jun,2006,46.8,61.05689682539684,54.364166,En riesgo
4440,4,1,117,LOS ANGELES,25006.0,Culiacan,1,verano,2007,0.0,55.50607936507938,61.07877,En riesgo
4443,4,1,142,,25002.0,Angostura,1,ago-dic,2005,71.66666666666667,49.69413888888889,60.79713,En riesgo
4443,4,1,142,,25002.0,Angostura,1,ene-jun,2006,63.0,46.302337253487266,54.311283,En riesgo
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,ago-dic,2005,55.333333333333336,60.268809523809516,62.5358,En riesgo
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,ene-jun,2006,60.8,69.84979047619049,58.838417,En riesgo
4455,4,1,234,ALCANFORES,25006.0,Culiacan,1,verano,2006,75.0,76.91666666666667,79.80632,Sin riesgo
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,ago-dic,2005,67.16666666666667,35.61349682539682,56.416706,En riesgo
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,ene-jun,2006,33.4,58.02325132275132,55.389297,En riesgo
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,verano,2007,80.0,77.16566666666667,77.72859,Sin riesgo
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,ago-dic,2005,73.33333333333333,63.10544285714287,62.439102,En riesgo
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,ene-jun,2006,43.666666666666664,57.30129285714287,59.268238,En riesgo
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,verano,2007,80.0,74.58,79.18472,Sin riesgo
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,ago-dic,2005,53.833333333333336,54.60706507936507,59.78566,En riesgo
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,ene-jun,2006,44.6,59.12515555555555,54.36523,En riesgo
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,verano,2007,95.0,91.685,73.32598,Sin riesgo
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,ago-dic,2005,57.166666666666664,60.95886583522298,63.902855,En riesgo
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,ene-jun,2006,63.2,45.97128174603174,57.08643,En riesgo
