clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,escuela,promedioxperiodo,promedio_pred
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2007,80.0,UAS (DR. SALVADOR ALLENDE),75.54317777777779,70.67649
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2009,73.0,UAS (DR. SALVADOR ALLENDE),75.54317777777779,70.67649
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,82.5,UAS (DR. SALVADOR ALLENDE),75.54317777777779,70.67649
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,73.33333333333333,C.E.T.I.S. 107,55.80727936507934,63.80651
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,61.4,C.E.T.I.S. 107,55.80727936507934,63.80651
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,28.2,C.E.T.I.S. 107,55.80727936507934,63.80651
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,56.25,C.E.T.I.S. 107,55.80727936507934,63.80651
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,83.0,C.E.T.I.S. 107,55.80727936507934,63.80651
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,43.666666666666664,C.E.T.I.S. 107,56.42487301587301,60.488102
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,63.75,C.E.T.I.S. 107,56.42487301587301,60.488102
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,23.333333333333332,C.E.T.I.S. 107,56.42487301587301,60.488102
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,39.0,C.E.T.I.S. 107,56.42487301587301,60.488102
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,89.83333333333333,C.E.T.I.S. 107,56.42487301587301,60.488102
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2007,80.0,C.E.T.I.S. 107,75.01,74.71956
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2009,70.0,C.E.T.I.S. 107,75.01,74.71956
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,94.0,C.E.T.I.S. 107,75.01,74.71956
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,53.833333333333336,COBAES 62(DR.ALBINO GARCIA P),54.65694999999998,62.417606
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,62.4,COBAES 62(DR.ALBINO GARCIA P),54.65694999999998,62.417606
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,42.0,COBAES 62(DR.ALBINO GARCIA P),54.65694999999998,62.417606
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,48.5,COBAES 62(DR.ALBINO GARCIA P),54.65694999999998,62.417606
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,45.0,COBAES 62(DR.ALBINO GARCIA P),54.65694999999998,62.417606
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,44.6,COBAES 62(DR.ALBINO GARCIA P),62.287895238095246,58.691784
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,59.4,COBAES 62(DR.ALBINO GARCIA P),62.287895238095246,58.691784
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,72.5,COBAES 62(DR.ALBINO GARCIA P),62.287895238095246,58.691784
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,30.0,COBAES 62(DR.ALBINO GARCIA P),62.287895238095246,58.691784
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,64.0,COBAES 62(DR.ALBINO GARCIA P),62.287895238095246,58.691784
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2007,95.0,COBAES 62(DR.ALBINO GARCIA P),90.44066666666666,73.29163
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,95.0,COBAES 62(DR.ALBINO GARCIA P),90.44066666666666,73.29163
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2005,57.166666666666664,C.B.T.I.S. 224,56.21152607709748,60.482456
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,66.0,C.B.T.I.S. 224,56.21152607709748,60.482456
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,41.75,C.B.T.I.S. 224,56.21152607709748,60.482456
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,64.0,C.B.T.I.S. 224,56.21152607709748,60.482456
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,55.857142857142854,C.B.T.I.S. 224,56.21152607709748,60.482456
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,63.2,C.B.T.I.S. 224,45.42582182539682,56.761257
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,52.333333333333336,C.B.T.I.S. 224,45.42582182539682,56.761257
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,21.75,C.B.T.I.S. 224,45.42582182539682,56.761257
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,44.0,C.B.T.I.S. 224,45.42582182539682,56.761257
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2006,70.0,C.B.T.I.S. 224,77.51849999999999,71.91088
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,83.5,C.B.T.I.S. 224,77.51849999999999,71.91088
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,69.83333333333333,UAS (ANGOSTURA),50.92670343915344,57.84315
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,41.25,UAS (ANGOSTURA),50.92670343915344,57.84315
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,44.2,UAS (ANGOSTURA),50.92670343915344,57.84315
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,55.166666666666664,UAS (ANGOSTURA),50.92670343915344,57.84315
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,46.6,UAS (ANGOSTURA),50.92670343915344,57.84315
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,77.5,UAS (ANGOSTURA),59.87672222222221,59.578827
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,60.166666666666664,UAS (ANGOSTURA),59.87672222222221,59.578827
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,48.0,UAS (ANGOSTURA),59.87672222222221,59.578827
