municipio,ciudad
25017.0,"['GUASAVE' 'SINALOA' 'SIN. DE LEYVA' 'SINALOA DE LEYV' 'LOS T.S.DE LEYV'
 'SINALOA DE LEYVA' 'NACAVEBA' 'EJIDO' 'CULIACAN' 'CUBIRIL'
 'EL PALMAR DE L.' 'EJIDO TORREON' 'SAN' 'CUBIRI DE LA CUESTA'
 'SIN.DE LEYVA' 'culiacan']"
25018.0,"['NAVOLATO, SIN.' 'NAVOLATO' 'NAVOLATO,CLN.S.' 'CULIACAN' 'BARICUETO NAV'
 'SATAYA, NAV.' 'EL BLEDAL, NAV.' 'NAVOLATO,SIN.' 'COFR.DE LA LOMA'
 'VILLA' 'BACHIMETO' 'SAN PEDRO' 'VILLAJUAREZ' 'BACHOCO' 'NAVOLATO,'
 'EL CASTILLO' 'COFRADIA' 'YEBAVITO' 'VILLA ADOLFO LOPEZ M' 'JUAN'
 'VILLLA' 'navolato' 'SAN BLAS' 'VILLA ANGEL FLORES' 'SAN' 'BARICUETO'
 'SAN PEDRO,NAV.' 'CON.EL CAST.NAV' 'EL MOLINO, NAV.' 'JUAN ALDAMA'
 'EL POTRERO DE SATAYA' 'CAMPO' 'DAUTILLOS' 'EL' 'TECOMATE' 'LAS'
 'BACHIGUALATILLO' 'EJ.' 'PALOS' 'BACHIMETO,' 'ALTATA' 'Culiacan'
 'VILLA JUAREZ' 'ALTATA, NAV' 'VILLAMOROS' 'BALBUENA,' 'EL BOLSON'
 'SATAYA, NAV' 'LAS AGUAMITAS' 'CAMPO BALBUENA' 'DAUTILLOS, NAV.'
 'VILLA A.F.NAV' 'culiacan' 'V.' 'Navolato' 'BUENOS AIRES' 'CON.BARIOMETO'
 'LA' 'JUAN ALDAMA EL TIGRE' 'AL' 'COSTA RICA' 'Villa' 'EL REALITO'
 'CAMP.' 'REALITO SATAYA' 'altata' 'V. ANGEL F.NAV.' 'VILLA ANGEL F.'
 'LA PIPIMA NAV' 'SATAYA,NAVOLATO' 'villa' 'VILLA A. FLORES'
 'V. ANGEL FLORES' 'CULIACAN,SIN.' 'CARRET.LA VUELT' 'EJIDO EL TAPACAL'
 'los' 'LA MICHOACANA' 'EJ. LAGUNA DE BATAOTO' 'OTAMETO']"
26003.0,['ALAMOS']
26025.0,['EMPALME']
26029.0,['CULIACAN' 'GUAYMAS']
26033.0,"['CULIACAN, SIN.']"
26043.0,['CULIACANCITO']
26055.0,['CULIACAN']
30160.0,['CULIACAN']
30176.0,['CULIACAN']
30193.0,['CULIACAN']
99999.0,"['EL ROSARIO' 'CULIACAN' 'ROSARIO' 'GUAMUCHIL' nan 'CULIACAN.'
 'CULIACAN, SIN.' 'CULIACAN,SIN.' 'SIN. DE LEYVA' 'MAZATLAN'
 'LA CRUZ ELOTA' 'PUE.NUEVO ELOTA' 'GUASAVE' 'NAVOLATO' 'CULIACAM'
 'LOS MOCHIS' 'EL DORADO' 'LA CRUZ' 'EST. BAMOA' 'MAZATLAN,SIN.'
 'ROSARIO,SINALOA' 'PORTALES' 'PERICOS' 'ELDORADO' 'MEXICO' 'Culiacán']"
