clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,clave,nombre,corto,ultimo_digito,periodo,anio_ingreso,periodo_act,anio_ingreso_periodo,promedio,promedio_pred
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,80.5,57.116642
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2010,75.5,61.66769
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2006,75.0,75.81953
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2007,70.0,66.5649
4455,4,1,234,ALCANFORES,25006.0,Culiacan,2053.0,,1,234,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,95.0,85.47951
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,67.16666666666667,62.67789
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,58.0,61.544415
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2007,0.0,51.740604
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2009,74.5,62.970947
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2010,40.0,63.823887
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,33.4,57.813408
