clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida
7286,4,1,29,CALDERON,25018.0,Navolato,2063.0,,1
7309,4,2,162,Olas,25006.0,Culiacan,2063.0,,1
7513,4,1,0,Aviacion,25006.0,Culiacan,2073.0,,1
7516,4,1,71,INF.,25006.0,Culiacan,2073.0,,1
7518,4,1,333,Panteon,25014.0,Rosario,2073.0,,1
7520,4,1,63,AMP.,25018.0,Navolato,2073.0,,1
7521,4,1,154,LEYVA,25011.0,Guasave,2073.0,,1
7523,4,1,117,21 DE MARZO,25006.0,Culiacan,2073.0,,1
7524,4,1,55,Ejidal,25011.0,Guasave,2073.0,,1
7526,4,1,121,Obrera,25006.0,Culiacan,2073.0,,1
7527,4,1,107,AQUILES SERDAN,25006.0,Culiacan,2073.0,,1
7528,4,1,153,Margaritas,25006.0,Culiacan,2073.0,,1
7531,4,1,62,Estadio,25006.0,Culiacan,2073.0,,1
7532,4,1,14,Estadio,25011.0,Guasave,2073.0,,1
7536,4,1,122,Bachigualato,25006.0,Culiacan,2073.0,,1
7537,4,1,156,,25018.0,Navolato,2073.0,,1
7539,4,1,23,PLUTARCO,25006.0,Culiacan,2073.0,,1
7540,4,1,117,El Walamo,25006.0,Culiacan,2073.0,,1
7541,4,1,112,Militar,25015.0,Guamuchil,2073.0,,1
7543,4,1,127,Canaco,25018.0,Navolato,2073.0,,1
7544,4,1,127,Popular,25018.0,Navolato,2073.0,,1
7546,4,1,153,Fovissste Playa Azul,25006.0,Culiacan,2073.0,,1
7547,4,1,127,Los Angeles,25018.0,Navolato,2073.0,,1
7550,4,1,156,La Sirena,25018.0,Navolato,2073.0,,1
7551,4,1,27,Emiliano Zapata,25006.0,Culiacan,2073.0,,1
7552,4,1,25,San Miguel,25006.0,Culiacan,2073.0,,1
7553,4,1,45,Centro,25006.0,Culiacan,2073.0,,1
7554,4,1,14,Morelos,25011.0,Guasave,2073.0,,1
7555,4,1,10,republica,25011.0,Guasave,2073.0,,1
7556,4,2,111,Cascadas,25012.0,Mazatlan,2073.0,,1
7557,4,1,145,La Cruz,25011.0,Guasave,2073.0,,1
7558,4,1,112,Militar,25015.0,Guamuchil,2073.0,,1
7559,4,1,63,Olas,25006.0,Culiacan,2073.0,,1
7560,4,1,127,YAMAGUCHI,25018.0,Navolato,2073.0,,1
7562,4,1,30,Stanza Solare,25006.0,Culiacan,2073.0,,1
7563,4,1,141,Centro,25013.0,Mocorito,2073.0,,1
7564,4,1,153,Margaritas,25006.0,Culiacan,2073.0,,1
7566,4,1,118,Canaco,25006.0,Culiacan,2073.0,,1
7567,4,1,144,Magisterio,25015.0,Guamuchil,2073.0,,1
7568,4,1,128,San Luis Ii,25006.0,Culiacan,2073.0,,1
7569,4,1,112,Cuauhtemoc,25015.0,Guamuchil,2073.0,,1
7570,4,1,121,Universidad 94,25006.0,Culiacan,2073.0,,1
7571,4,1,32,Pemex,25006.0,Culiacan,2073.0,,1
7573,4,2,154,Stanza Solare,25011.0,Guasave,2073.0,,1
7574,4,1,131,Diaz,25008.0,La Cruz,2073.0,,1
7575,4,2,107,Humaya,25006.0,Culiacan,2073.0,,1
7576,4,1,160,Centro,25013.0,Mocorito,2073.0,,1
7577,4,1,107,La Higueras,25006.0,Culiacan,2073.0,,1
7579,4,1,0,elota,25006.0,Culiacan,2073.0,,1
7580,4,1,20,Aviacion,25013.0,Mocorito,2073.0,,1
7581,4,1,71,Villa del Real,25006.0,Culiacan,2073.0,,1
7584,4,1,63,Montserrat,25018.0,Navolato,2073.0,,1
7586,4,1,0,Guadalupe,25006.0,Culiacan,2073.0,,1
7587,4,2,107,Universidad 94,25006.0,Culiacan,2073.0,,1
7589,4,1,333,COL. GENARO ESTRADA,25014.0,Rosario,2073.0,,1
7590,4,1,27,Primavera,25006.0,Culiacan,2073.0,,1
7596,4,1,107,Canaco,25006.0,Culiacan,2073.0,,1
7597,4,1,112,Los Angeles,25013.0,Mocorito,2073.0,,1
7599,4,1,128,buenos,25006.0,Culiacan,2073.0,,1
7601,4,1,112,Villa del Real,25015.0,Guamuchil,2073.0,,1
7602,4,1,153,Solidaridad,25006.0,Culiacan,2073.0,,1
7603,4,1,333,Alfonso,25014.0,Rosario,2073.0,,1
7604,4,1,153,El Walamo,25006.0,Culiacan,2073.0,,1
7605,4,1,0,Azucarera,25016.0,San Ignacio,2073.0,,1
7606,4,1,32,Villa del Real,25005.0,Cosala,2073.0,,1
7608,4,1,26,Guadalupe,25006.0,Culiacan,2073.0,,1
7610,4,1,107,Olas,25006.0,Culiacan,2073.0,,1
7613,4,1,112,Cuauhtemoc,25015.0,Guamuchil,2073.0,,1
7615,4,1,125,zapata,25006.0,Culiacan,2073.0,,1
7619,4,1,112,Militar,25015.0,Guamuchil,2073.0,,1
7620,4,1,107,Nuevo,25006.0,Culiacan,2073.0,,1
7622,4,1,71,INF.,25006.0,Culiacan,2073.0,,1
