clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2008,44.6,51.63402,54.595506349206346,En riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,verano,2008,84.0,67.53409,70.52666666666666,Sin riesgo
3428,6,1,21,CUAUHTEMOC,25015.0,Guamuchil,1,21,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2010,55.833333333333336,62.614666,56.828211877276175,En riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2005,85.5,77.253395,83.19216666666667,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2006,82.0,77.05577,83.19216666666667,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2006,77.5,75.51121,79.92177142857143,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,verano,2006,70.0,70.78512,66.29063492063494,En riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2007,81.33333333333333,66.31256,83.19216666666667,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2007,83.57142857142857,66.70718,79.92177142857143,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2008,76.0,65.4182,83.19216666666667,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,verano,2008,0.0,65.60035,66.29063492063494,En riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2009,82.71428571428571,70.46253,79.92177142857143,Sin riesgo
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,verano,2009,94.0,80.41123,66.29063492063494,En riesgo
