clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,nombre,corto,ultimo_digito,periodo,anio_ingreso,riesgo_bajo_rendimiento,riesgo_predicho
8518,4,1,112,JUAREZ,25015.0,Guamuchil,2081.0,,1,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2008,0,0
8519,4,1,112,SAN LUIS II,25006.0,Culiacan,2081.0,,1,INGENIERIA ELECTRONICA,Electronica,1.0,ene-jun,2008,0,0
9206,4,1,26,CANACO,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9208,4,1,107,FRACC.,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9210,4,1,112,CUAUHTEMOC,25015.0,Guamuchil,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9213,4,1,107,FRACC.,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9214,4,1,142,LEOPOLDO,25002.0,Angostura,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9215,4,1,73,SALVADOR,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9218,4,1,24,21 DE MARZO,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9219,4,1,112,CONOCIDA,25002.0,Angostura,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9220,4,1,42,CENTRO,25009.0,Escuinapa,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9222,4,1,154,MORELOS,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9224,4,1,97,CENTRO,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9225,4,1,143,CONOCIDA,25002.0,Angostura,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9227,4,1,20,,25013.0,Mocorito,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9234,4,1,153,INFONAVIT JOBORI,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9235,4,1,112,EJIDAL,25011.0,Guasave,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9237,4,1,153,UNIVERSIDAD 94,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9238,4,1,153,FRACC.,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9239,4,1,26,SAN FRANCISCO,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9242,4,1,107,BALCONES DE NUEVO CULIACAN,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9244,4,1,26,BUENOS AIRES,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9245,4,1,24,SAN MIGUEL,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9248,4,1,121,FRACC.,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9249,4,2,129,POPULAR,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9250,4,1,10,CONOCIDA,25011.0,Guasave,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9251,4,1,145,EL TECOMATE,25011.0,Guasave,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9253,4,1,107,FRACC.,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9255,4,1,31,COL. MARIANO ESCOBEDO,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9256,4,1,112,MAGISTERIO,25015.0,Guamuchil,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9259,4,1,107,LOMA LINDA,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9260,4,1,42,CENTRO,25009.0,Escuinapa,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9261,4,1,127,AZUCARERA,25018.0,Navolato,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9262,4,1,24,GUADALUPE,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9268,4,1,15,SN.FELIPE,25017.0,Sinaloa de Leyva,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9270,4,1,131,MIRAMAR,25008.0,La Cruz,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9273,4,1,65,INFONAVIT JOBORI,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9274,4,1,79,FRACC.,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9275,4,1,107,SERVIDOR,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9276,4,1,20,,25013.0,Mocorito,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9282,4,1,71,LA SIRENA,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9285,4,1,36,SAN RAFAEL,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9287,4,1,107,CONCHAS,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9290,4,1,29,COFRADIA,25018.0,Navolato,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9291,4,1,107,CONOCIDA,25018.0,Navolato,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9465,4,1,0,MORELOS,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9489,4,1,26,MONTSERRAT,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9492,4,1,153,EJIDAL,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
9510,4,1,0,HERACLIO BERNAL,25006.0,Culiacan,2083.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2008,0,0
10062,4,1,107,RINCON DE LAS PLAZAS,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10109,4,1,29,NAYARIT,25018.0,Navolato,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
